reg_code,reg_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Ile-de-France,931.3,938.3,945,952.6,960.2,965.7,970.7,976.5,0,0,0
21,Champagne-Ardenne,52.4,52.4,52.3,52.3,52.3,52.3,52.3,52.3,0,0,0
22,Picardie,96.6,96.9,97.1,97.4,97.7,98,98.3,98.5,0,0,0
23,Haute-Normandie,145.7,146,146.3,146.7,147,147.5,148.2,148.8,0,0,0
24,Centre,63.2,63.5,63.7,64,64.4,64.5,64.7,64.8,0,0,0
25,Basse-Normandie,81.7,82,82.3,82.6,82.8,83.1,83.4,83.6,0,0,0
26,Bourgogne,51.2,51.3,51.4,51.5,51.6,51.7,51.9,52,0,0,0
31,Nord-Pas-de-Calais,322.7,322.9,323.1,323.5,323.7,324,324.2,324.9,0,0,0
41,Lorraine,98.7,98.8,98.9,99.1,99.2,99.4,99.6,99.8,0,0,0
42,Alsace,213.5,214.9,216.3,217.8,219.3,220.7,221.9,222.6,0,0,0
43,Franche-Comté,69.8,70.1,70.4,70.7,71,71.5,71.8,72.1,0,0,0
52,Pays de la Loire,103.3,104.3,105.3,106.5,107.5,108.6,109.4,110.3,0,0,0
53,Bretagne,109.6,110.6,111.6,112.7,113.7,114.7,115.8,116.7,0,0,0
54,Poitou-Charentes,64.9,65.3,65.8,66.3,66.8,67.4,67.9,68.2,0,0,0
72,Aquitaine,72.5,73.2,73.9,74.8,75.5,76.3,76.9,77.6,0,0,0
73,Midi-Pyrénées,58.3,59,59.7,60.5,61.2,62,62.6,63.1,0,0,0
74,Limousin,42.4,42.6,42.7,42.9,43.1,43.5,43.7,43.8,0,0,0
82,Rhône-Alpes,132.6,133.9,135.1,136.5,137.8,138.8,140,141.3,0,0,0
83,Auvergne,50.7,50.9,51,51.2,51.4,51.5,51.6,51.7,0,0,0
91,Languedoc-Roussillon,87.3,88.6,89.9,91.2,92.6,93.5,94.3,95.4,0,0,0
93,Provence-Alpes-Côte0d'Azur,147.4,148.9,150.3,151.9,153.4,154.9,155.5,155.7,0,0,0
94,Corse,31.6,32.1,32.7,33.3,33.9,34.5,34.9,35.2,0,0,0
