reg_code,reg_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Ile-de-France,100285,95593,106826,106020,113686,110182,110329,111055,113269,111411,108700
21,Champagne-Ardenne,3649,3085,4046,3881,4159,3968,3737,3430,3604,3432,2545
22,Picardie,7728,7242,8477,8291,8942,8313,8086,7765,8223,7987,6990
23,Haute-Normandie,6837,6776,7693,7387,7821,7965,7768,7347,7831,7794,7097
24,Centre,4980,3553,6421,5988,6880,6261,6173,5352,5942,5979,4961
25,Basse-Normandie,3806,3171,3620,3058,3856,3046,2771,2500,2099,2079,891
26,Bourgogne,124,-538,1457,450,1055,1017,701,279,428,-96,-522
31,Nord-Pas-de-Calais,19555,18129,20973,19528,21145,20605,20317,20181,20484,20782,18503
41,Lorraine,5786,4860,7023,6018,6927,6244,6207,5730,5516,4910,3913
42,Alsace,7780,7766,8389,8349,8921,8602,8254,7606,8093,7711,6828
43,Franche-Comté,3962,3912,4663,4314,5021,4833,4785,4219,4388,3720,3349
52,Pays de la Loire,13956,12713,15882,15858,17557,16079,15840,15591,15847,15193,13106
53,Bretagne,5801,5777,7082,6257,8095,6751,7112,6146,5882,5674,3792
54,Poitou-Charentes,121,-545,990,920,1298,967,1220,371,586,72,-853
72,Aquitaine,1625,1003,3446,2405,4450,4092,3756,3802,3624,4072,1727
73,Midi-Pyrénées,2354,2284,4230,3510,6119,5943,5714,5371,5271,5925,4797
74,Limousin,-2401,-2567,-1628,-1606,-1473,-1581,-1839,-1806,-1955,-1920,-2034
82,Rhône-Alpes,29265,28685,33043,32442,36068,34524,34994,33843,35331,35380,33364
83,Auvergne,-1137,-1124,-229,-585,303,-279,-694,-863,-617,-804,-1533
91,Languedoc-Roussillon,3190,2291,4028,3807,5755,5334,5479,4811,4659,5128,3481
93,Provence-Alpes-Côte d'Azur,9710,7616,12357,10803,14010,12468,13380,12714,13798,13767,12126
94,Corse,-23,-96,-7,67,74,105,135,139,33,113,89
