reg_code,reg_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Ile-de-France,6.5,6.9,6,6.1,6,5.9,6,3.6,0,6,6.1
21,Champagne-Ardenne,9.4,9.6,9,9.2,9,9.1,9.4,4.9,0,9.2,9.7
22,Picardie,9.1,9.3,8.5,8.7,8.6,8.7,9,3.9,0,8.8,9.1
23,Haute-Normandie,8.9,9.1,8.4,8.7,8.6,8.6,8.7,3.6,0,8.7,9
24,Centre,9.9,10.4,9.3,9.5,9.3,9.4,9.6,3.2,0,9.3,9.7
25,Basse-Normandie,9.3,9.6,9.2,9.5,9.2,9.5,9.5,3.8,0,9.6,10.3
26,Bourgogne,10.8,11.2,10.1,10.5,10.3,10.3,10.5,3,0,10.6,10.9
31,Nord-Pas-de-Calais,9.2,9.2,8.6,8.9,8.8,8.8,9,3.2,0,8.8,9.1
41,Lorraine,9.2,9.3,8.7,9,8.8,8.8,8.9,3.8,0,8.9,9.3
42,Alsace,7.9,8,7.4,7.6,7.6,7.4,7.5,5,0,7.7,8
43,Franche-Comté,8.9,8.9,8.5,8.8,8.5,8.4,8.5,4.1,0,8.7,9
52,Paysde la Loire,8.7,9.1,8.3,8.3,8.2,8.3,8.4,3.2,0,8.3,8.7
53,Bretagne,10,10.1,9.6,9.8,9.6,9.7,9.7,3.8,0,9.6,10.1
54,Poitou-Charentes,10.5,10.9,10,10.3,10,9.9,10.1,3.7,0,10.3,10.7
72,Aquitaine,10.2,10.3,9.5,9.8,9.5,9.4,9.5,3.9,0,9.3,9.9
73,Midi-Pyrénées,10,10,9.2,9.6,9.1,9,9.2,4,0,9,9.5
74,Limousin,12.8,12.7,11.7,12.1,11.7,11.7,12.2,2.8,0,12.1,12.2
82,Rhône-Alpes,8,8.1,7.4,7.7,7.4,7.4,7.6,3.3,0,7.4,7.8
83,Auvergne,11.1,11.2,10.5,10.9,10.4,10.5,10.8,3.5,0,10.6,11.2
91,Languedoc-Roussillon,10.1,10.3,9.6,9.8,9.4,9.4,9.6,4.5,0,9.6,9.9
93,Provence-Alpes-Côte d'Azur,9.8,10.1,9.1,9.5,9.1,9.2,9.3,3.3,0,9.2,9.7
94,Corse,10,9.9,9.3,9.6,9.2,9.1,9.2,2.7,0,9.4,9.1
