reg_code,reg_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Ile-de-France,15.51,15.4,15.44,15.43,15.85,15.46,15.5,15.48,15.66,15.38,15.23
21,Champagne-Ardenne,12.09,11.91,11.98,12.13,12.14,12.07,12.22,12,12.01,11.79,11.54
22,Picardie,13.23,13.13,12.97,13.06,13.31,13.09,13.25,12.97,13.11,13.01,12.77
23,Haute-Normandie,12.68,12.83,12.69,12.77,12.92,12.96,13.01,12.91,13.09,12.98,12.84
24,Centre,11.89,11.87,11.88,11.91,12.07,11.85,12.06,11.85,12.04,11.69,11.7
25,Basse-Normandie,11.95,11.81,11.74,11.64,11.84,11.62,11.42,11.41,11.22,11.07,10.86
26,Bourgogne,10.87,10.88,10.96,10.8,11.01,10.91,10.93,10.76,10.74,10.6,10.56
31,Nord-Pas-de-Calais,14.06,13.72,13.85,13.79,14.09,13.97,14.03,13.93,13.98,13.95,13.71
41,Lorraine,11.67,11.44,11.68,11.6,11.8,11.47,11.51,11.36,11.34,11.05,10.97
42,Alsace,12.37,12.4,12.16,12.26,12.51,12.09,12.05,12.02,12.2,11.85,11.67
43,Franche-Comté,12.37,12.38,12.59,12.54,12.93,12.61,12.64,12.34,12.4,11.95,11.82
52,Pays de la Loire,12.97,12.97,13.02,13.03,13.31,12.97,12.96,12.86,12.87,12.51,12.32
53,Bretagne,12.02,12.05,11.98,11.85,12.23,11.86,11.96,11.7,11.61,11.43,11.3
54,Poitou-Charentes,10.58,10.63,10.65,10.84,10.82,10.52,10.86,10.64,10.63,10.36,10.27
72,Aquitaine,10.77,10.68,10.71,10.59,10.95,10.76,10.75,10.84,10.78,10.59,10.45
73,Midi-Pyrénées,10.94,10.91,10.85,10.93,11.33,11.2,11.27,11.07,11.14,11.1,11.15
74,Limousin,9.5,9.14,9.48,9.91,9.74,9.62,9.7,9.79,9.44,9.54,9.46
82,Rhône-Alpes,13.09,13.05,13.06,13.15,13.37,13.11,13.32,13.13,13.27,13.05,13.07
83,Auvergne,10.21,10.4,10.38,10.47,10.65,10.33,10.32,10.3,10.5,10.04,10.11
91,Languedoc-Roussillon,11.51,11.33,11.28,11.36,11.76,11.55,11.75,11.61,11.57,11.53,11.27
93,Provence-Alpes-Côte d'Azur,11.91,11.73,11.81,11.79,12.01,11.8,12.05,11.96,12.19,12.01,12.11
94,Corse,10.03,9.63,9.41,9.94,9.56,9.52,9.7,9.82,9.68,9.81,9.52
