reg_code,reg_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Ile-de-France,11144194,11227819,11310182,11396217,11487271,11565632,11629063,11757237,11819543,11875677,11925282
21,Champagne-Ardenne,1341756.5,1341243,1340224,1339498.5,1339125,1339168.5,1338745.5,1336938,1335988,1337661.5,1339018
22,Picardie,1871537.5,1876697.5,1881244,1886218.5,1891691.5,1897354.5,1903477.5,1913000.5,1916499.5,1920248.5,1923706
23,Haute-Normandie,1791752.5,1796011.5,1799857.5,1804234,1808866,1813885.5,1821191.5,1834948,1838173.5,1842470,1847368
24,Centre,2467378,2478633,2489283.5,2500762.5,2513406.5,2523243,2529253.5,2543327.5,2552450,2560210.5,2567354
25,Basse-Normandie,1435100.5,1440358.5,1445172.5,1449927,1454609,1459111,1464427,1472187,1474589,1476446.5,1477596.5
26,Bourgogne,1617044,1619597,1621606.5,1624323,1627513.5,1631364,1636239.5,1642277.5,1642424.5,1641932,1640549
31,Nord-Pas-de-Calais,4003359.5,4007102.5,4009588,4013080.5,4017128.5,4020160,4023083,4035677,4040086,4046385.5,4052695
41,Lorraine,2320908.5,2324522.5,2327077.5,2330302,2334108.5,2337815,2343121,2350516,2350788.5,2350236.5,2349031.5
42,Alsace,1762066,1773814.5,1785360,1797273.5,1809447.5,1821370.5,1832167.5,1844370,1849006,1856097,1862184.5
43,Franche-Comté,1129075,1133718.5,1138230,1143111,1148184,1154647.5,1161301,1169985.5,1172601.5,1174562,1176550
52,Pays de la Loire,3298164,3331162,3363729.5,3397587.5,3432902,3466503.5,3496382,3555271.5,3586304,3616863.5,3646992.5
53,Bretagne,2968044.5,2995507,3023163,3051831,3080559.5,3107411,3134994.5,3187065,3208416.5,3227432,3246384
54,Poitou-Charentes,1668296.5,1680466,1692246,1704663.5,1717715,1731951.5,1746244,1765469,1774068,1780882,1787296.5
72,Aquitaine,2978023,3008527,3039254.5,3071391.5,3103987,3135334,3164257.5,3219244.5,3243292.5,3270101.5,3298226
73,Midi-Pyrénées,2625601,2658269.5,2691071,2725328,2759947.5,2793534.5,2824237.5,2872231.5,2892588,2915006,2936879.5
74,Limousin,717256,720033.5,722628.5,725696.5,729203.5,733960.5,738872,742278,741921.5,739852.5,738037.5
82,Rhône-Alpes,5769010.5,5823328.5,5877621,5934232.5,5992541,6043652.5,6091594,6202365.5,6257116,6312350.5,6368272.5
83,Auvergne,1317872,1321603,1325255,1329441.5,1333858.5,1337592.5,1340555,1345675.5,1349034.5,1352393,1355408.5
91,Languedoc-Roussillon,2371176,2406620.5,2442243.5,2478843.5,2515931,2547507,2571294,2623620,2653198,2685156,2714473
93,Provence-Alpes-Côte d'Azur,4606937.5,4652276,4697094,4743848,4791898,4839623.5,4873464,4894104,4907612,4925822.5,4942680
94,Corse,271683,276560,281499.5,286532,291605,296663.5,301087.5,307683.5,312089.5,315371.5,318018.5
