reg_code,reg_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Ile-de-France,11185563,11270074,11350290,11442143,11532398,11598866,11659260,11728240,11786234,11852851,11898502
21,Champagne-Ardenne,1341635,1340851,1339597,1339400,1338850,1339487,1338004,1337953,1335923,1336053,1339270
22,Picardie,1874316,1879079,1883409,1889028,1894355,1900354,1906601,1911157,1914844,1918155,1922342
23,Haute-Normandie,1794099,1797924,1801791,1806677,1811055,1816716,1825667,1832942,1836954,1839393,1845547
24,Centre,2472978,2484288,2494279,2507246,2519567,2526919,2531588,2538590,2548065,2556835,2563586
25,Basse-Normandie,1437801,1442916,1447429,1452425,1456793,1461429,1467425,1470880,1473494,1475684,1477209
26,Bourgogne,1618437,1620757,1622456,1626190,1628837,1633891,1638588,1642440,1642115,1642734,1641130
31,Nord-Pas-de-Calais,4005577,4008628,4010548,4015613,4018644,4021676,4024490,4033197,4038157,4042015,4050756
41,Lorraine,2323026,2326019,2328136,2332468,2335749,2339881,2346361,2350112,2350920,2350657,2349816
42,Alsace,1768054,1779575,1791145,1803402,1815493,1827248,1837087,1843053,1845687,1852325,1859869
43,Franche-Comté,1131455,1135982,1140478,1145744,1150624,1158671,1163931,1168208,1171763,1173440,1175684
52,Pays de la Loire,3314649,3347675,3379784,3415391,3450413,3482594,3510170,3539048,3571495,3601113,3632614
53,Bretagne,2981765,3009249,3037077,3066585,3094534,3120288,3149701,3175064,3199066,3217767,3237097
54,Poitou-Charentes,1674460,1686472,1698020,1711307,1724123,1739780,1752708,1760575,1770363,1777773,1783991
72,Aquitaine,2993132,3023922,3054587,3088196,3119778,3150890,3177625,3206137,3232352,3254233,3285970
73,Midi-Pyrénées,2641980,2674559,2707583,2743073,2776822,2810247,2838228,2862707,2881756,2903420,2926592
74,Limousin,718716,721351,723906,727487,730920,737001,740743,741785,742771,741072,738633
82,Rhône-Alpes,5796144,5850513,5904729,5963736,6021346,6065959,6117229,6174040,6230691,6283541,6341160
83,Auvergne,1319800,1323406,1327104,1331779,1335938,1339247,1341863,1343964,1347387,1350682,1354104
91,Languedoc-Roussillon,2388723,2424518,2459969,2497718,2534144,2560870,2581718,2610890,2636350,2670046,2700266
93,Provence-Alpes-Côte d'Azur,4629496,4675056,4719132,4768564,4815232,4864015,4882913,4889053,4899155,4916069,4935576
94,Corse,274093,279027,283972,289092,294118,299209,302966,305674,309693,314486,316257
