reg_code,reg_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Ile-de-France,46.24,46.43,46.44,46.8,47.17,47.28,47.92,48.34,48.78,49.32,50.36
21,Champagne-Ardenne,62.27,63.61,64.66,66,66.98,66.97,67.42,67.97,68.86,70.12,72.56
22,Picardie,52.74,53.61,54.1,54.98,55.73,55.8,55.87,56.41,56.87,57.67,60.12
23,Haute-Normandie,55,56.15,56.94,58.05,58.93,59.32,59.82,60.54,61.37,62.47,64.46
24,Centre,73.31,74.19,74.61,75.43,75.61,75.81,76.6,77.14,77.39,78.04,80.45
25,Basse-Normandie,69.76,71.39,72.61,73.92,74.67,75.14,75.41,76.64,77.88,79.14,81.95
26,Bourgogne,81,82.23,83.07,84.4,85.25,85.41,86.09,86.72,87.65,88.88,91.55
31,Nord-Pas-de-Calais,49.84,50.64,51.27,52.12,52.54,52.34,51.97,52.22,52.52,53.03,55.24
41,Lorraine,61.84,63.16,64.2,65.48,67.23,67.83,68.41,69.07,69.86,70.59,73.24
42,Alsace,55.42,56.29,56.94,57.88,59.55,60.81,62.17,63.31,63.98,64.14,66.08
43,Franche-Comté,62.87,63.94,64.73,65.61,66.47,66.8,67.4,68.33,68.92,70.09,72.32
52,Pays de la Loire,64.22,65.12,65.47,66.06,66.08,65.73,66.1,66.7,67.05,67.25,68.78
53,Bretagne,73.57,74.53,74.97,75.65,75.73,75.3,75.12,75.3,75.91,76.22,78.61
54,Poitou-Charentes,87.61,88.67,89.16,90,89.63,89.51,90.31,91.09,91.52,92.38,94.89
72,Aquitaine,83.81,84.27,84.4,84.79,84.69,84.51,84.7,85.5,85.96,86.63,88.76
73,Midi-Pyrénées,84.36,84.22,83.72,83.58,83.29,82.67,82.62,83.11,83.83,83.93,85.56
74,Limousin,114.14,114.14,114.22,114.59,113.15,111.69,110.76,110.71,110.76,110.29,112.33
82,Rhône-Alpes,58.16,58.77,59.12,59.76,60.76,61.11,61.68,62.33,62.98,63.88,65.27
83,Auvergne,89.3,90.31,90.71,91.54,91.76,92,92.29,92.15,92.25,93.51,96.49
91,Languedoc-Roussillon,81.13,81.2,80.98,81.03,80.78,81.21,82.15,82.86,83.73,84.44,87.11
93,Provence-Alpes-Côte d'Azur,77.57,78.1,78.45,79.13,79.53,80.09,81.45,83.19,84.65,85.67,87.8
94,Corse,85.2,86.95,88.9,91.02,91.7,93.93,96.31,97.86,95.65,97.45,99.39
